year,tournament,category,japanese,age,start_date,end_date
2022,V Panamericano Sub-15 de Beisbol - V U-15 Pan American Baseball Championship 2022,Panamericano|Pan American Games,,U-12,2022-06-03,2022-06-12
2022,U-23 Men´s Baseball World Cup Americas Qualifier 2022,World Cup,,U-12,2022-06-10,2022-06-19
2022,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,Juegos Bolivarianos,,U-12,2022-06-29,2022-07-05
2022,U-18 European Baseball Championship Qualifier 2022,European Championship|European Baseball Championship,,U-12,2022-07-04,2022-07-09
2022,U-12 European Baseball Championship 2022,European Championship|European Baseball Championship,,U-12,2022-07-05,2022-07-09
2022,U-12 European Baseball Championship Qualifier 2022,European Championship|European Baseball Championship,,U-12,2022-07-05,2022-07-09
2022,European Baseball Championship Qualifier 2022,European Championship|European Baseball Championship,,U-12,2022-07-12,2022-07-17
2022,U-15 European Baseball Championship Qualifier 2022,European Championship|European Baseball Championship,,U-12,2022-07-18,2022-07-23
2022,Men's Baseball South American Championship 2022 - Campeonato Sudamericano de Mayores 2022,South American Championship,,U-12,2022-07-24,2022-07-30
2022,VI U-12 Baseball World Cup 2021,World Cup,,U-12,2022-07-29,2022-08-07
2022,U-23 European Baseball Championship Qualifier 2022 - Pool B (LTU),European Championship|European Baseball Championship,,U-12,2022-08-07,2022-08-12
2022,U-23 European Baseball Championship Qualifier 2022 - Pool A (SLO),European Championship|European Baseball Championship,,U-12,2022-08-08,2022-08-13
2022,U-18 European Baseball Championship 2022,European Championship|European Baseball Championship,,U-12,2022-08-13,2022-08-20
2022,V U-15 Baseball World Cup 2022,World Cup,,U-12,2022-08-26,2022-09-04
2022,XXX U-18 Baseball World Cup 2021,World Cup,,U-12,2022-09-09,2022-09-18
2022,World Baseball Classic Qualifiers,World Baseball Classic Qualifiers,,U-12,2022-09-16,2025-03-06
2022,IV U-23 Baseball World Cup 2022,World Cup,,U-12,2022-10-13,2022-10-23
2022,XIV Campeonato Panamericano Sub-18 | U-18 Pan American Championship - 2022,Panamericano|Pan American Games,,U-12,2022-11-04,2022-11-13
2022,U-10 International Championship 2022 - Campeonato Internacional Sub-10 2022,Campeonato Internacional,,U-12,2022-11-20,2022-11-27
2022,IV Caribbean Baseball Cup 2022 - IV Copa del Caribe de Béisbol 2022,Caribbean Baseball Cup,,U-12,2022-12-04,2022-12-11
2022,U-18 Men's Baseball Oceania Championship 2022,Oceania Championship,,U-12,2022-12-12,2022-12-15
2023,BFA XV West Asian Cup 2023,West Asian Cup|West Asia Cup,,U-12,2023-01-27,2023-02-01
2023,Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,Central American & Caribbean Games|Central American and Caribbean Games,,U-12,2023-02-06,2023-02-12
2023,World Baseball Classic Pool Play,WBC|World Baseball Classic,,U-12,2023-03-08,2026-03-11
2023,World Baseball Classic Quarterfinals,WBC|World Baseball Classic,,U-12,2023-03-15,2026-03-14
2023,World Baseball Classic Semifinals,WBC|World Baseball Classic,,U-12,2023-03-19,2026-03-16
2023,World Baseball Classic Finals,WBC|World Baseball Classic,,U-12,2023-03-21,2026-03-17
2023,V ALBA Sports Game - V Juegos Deportivos del ALBA 2023,ALBA Sports Game,,U-12,2023-04-24,2023-04-26
2023,BFA XIII East Asia Cup 2023,East Asia Cup,,U-12,2023-04-29,2023-05-04
2023,Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,Panamericano|Pan American Games,,U-12,2023-05-19,2023-05-28
2023,Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,Panamericano|Pan American Games,,U-12,2023-06-16,2023-06-21
2023,Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,Panamericano|Pan American Games,,U-12,2023-06-24,2023-06-30
2023,XXIV Central American and Caribbean Games - Men's Baseball 2023,Central American & Caribbean Games|Central American and Caribbean Games,,U-12,2023-06-24,2023-07-01
2023,U-12 Baseball European Championship 2023 Qualifier,European Championship|European Baseball Championship,,U-12,2023-07-03,2023-07-08
2023,U-12 Baseball European Championship 2023,European Championship|European Baseball Championship,,U-12,2023-07-05,2023-07-09
2023,U-18 Baseball European Championship Qualifier 2023 - Pool 1 (SUI),European Championship|European Baseball Championship,,U-12,2023-07-10,2023-07-15
2023,U-15 Baseball European Championship 2023,European Championship|European Baseball Championship,,U-12,2023-07-18,2023-07-22
2023,U-18 Baseball European Championship Qualifier 2023 - Pool 2 (IRL),European Championship|European Baseball Championship,,U-12,2023-07-27,2023-07-30
2023,VII U-12 Baseball World Cup 2023,World Cup,,U-12,2023-07-29,2023-08-06
2023,U-23 Baseball European Championship 2023,European Championship|European Baseball Championship,,U-12,2023-08-08,2023-08-12
2023,BFA XI U15 Asian Baseball Championship 2023,Asian Baseball Championship,,U-12,2023-08-20,2023-08-26
2023,XXXI U-18 Baseball World Cup 2023,World Cup,,U-12,2023-08-31,2023-09-10
2023,Baseball European Championship 2023,European Championship|European Baseball Championship,,U-12,2023-09-24,2023-10-01
2023,XIX Asian Games 2022 | Men's Baseball,Asian Games,,U-12,2023-09-26,2023-10-07
2023,V Caribbean Baseball Cup 2023 - V Copa del Caribe de Béisbol 2023,Caribbean Baseball Cup,,U-12,2023-10-01,2023-10-01
2023,XIX Pan American Games - Santiago 2023 - Men's Baseball,Panamericano|Pan American Games,,U-12,2023-10-18,2023-10-28
2023,U-23 Men´s Baseball World Cup Americas Qualifier 2023,World Cup,,U-12,2023-11-24,2023-11-30
2023,BFA XXX Asian Championship 2023,Asian Championship,,U-12,2023-12-03,2023-12-10
2023,U-18 Men's Baseball South American Championship  - Campeonato Sudamericano de Béisbol Masculino Sub-18 2023,South American Championship,,U-12,2023-12-04,2023-12-09
2024,VI Panamericano Sub-15 - VI U-15 Pan American 2024,Panamericano|Pan American Games,,U-12,2024-03-16,2024-03-21
2024,U-12 Baseball European Championship 2024,European Championship|European Baseball Championship,,U-12,2024-07-02,2024-07-06
2024,U-12 Baseball European Championship B Pool 2024,European Championship|European Baseball Championship,,U-12,2024-07-03,2024-07-07
2024,U-18 Baseball European Championship 2024,European Championship|European Baseball Championship,,U-12,2024-07-08,2024-07-14
2024,U-15 Baseball European Championship B Pool 2024 - Group Croatia,European Championship|European Baseball Championship,,U-12,2024-07-15,2024-07-20
2024,U-15 Baseball European Championship B Pool 2024 - Group Lithuania,European Championship|European Baseball Championship,,U-12,2024-07-15,2024-07-20
2024,Baseball European Championship B Pool 2024 - Group Serbia,European Championship|European Baseball Championship,,U-12,2024-07-22,2024-07-27
2024,Baseball European Championship B Pool 2024 - Group Poland,European Championship|European Baseball Championship,,U-12,2024-07-24,2024-07-27
2024,Baseball European Championship B Pool 2024 - Group Ireland,European Championship|European Baseball Championship,,U-12,2024-07-25,2024-07-28
2024,XV Campeonato Panamericano Sub-18 | U-18 Pan American Championship - 2024,Panamericano|Pan American Games,,U-12,2024-08-02,2024-08-11
2024,U-23 Baseball European Championship B Pool 2024 - Group Switzerland,European Championship|European Baseball Championship,,U-12,2024-08-05,2024-08-10
2024,U-23 Baseball European Championship B Pool 2024 - Group Hungary,European Championship|European Baseball Championship,,U-12,2024-08-06,2024-08-11
2024,WBSC U-15 Baseball World Cup 2024,World Cup,,U-12,2024-08-16,2024-08-25
2024,BFA XIII U18 Asian Baseball Championship 2024,Asian Baseball Championship,,U-12,2024-09-02,2024-09-08
2024,WBSC U-23 Baseball World Cup 2024,World Cup,,U-12,2024-09-06,2024-09-15
2024,Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2024,Panamericano|Pan American Games,,U-12,2024-10-20,2024-10-26
2024,BFA XIV East Asia Cup 2024,East Asia Cup,,U-12,2024-10-29,2024-11-03
2024,WBSC Premier12 2024 presented by RAXUS,Premier12,,U-12,2024-11-09,2024-11-24
2024,Men's Baseball South American Championship 2024 - Campeonato Sudamericano de Mayores 2024,South American Championship,,U-12,2024-11-16,2024-11-23
2024,BFA XI U12 Asian Baseball Championship 2024,Asian Baseball Championship,,U-12,2024-11-23,2024-11-29
2024,XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,Panamericano|Pan American Games,,U-12,2024-11-23,2024-11-30
2024,U-12 Baseball WBSC Oceania Championship 2024,Oceania Championship,,U-12,2024-12-02,2024-12-02
2024,U-18 Baseball WBSC Oceania Championship 2024,Oceania Championship,,U-12,2024-12-05,2024-12-08
2025,BFA XVI West Asia Cup 2025,West Asian Cup|West Asia Cup,,U-12,2025-05-15,2025-05-21
2025,U-12 Baseball European Championship B Pool 2025,European Championship|European Baseball Championship,,U-12,2025-07-01,2025-07-05
2025,Men's Baseball Pacific Mini Games 2025 (Palau),Pacific Mini Games,,U-12,2025-07-02,2025-07-07
2025,U-12 Baseball European Championship 2025,European Championship|European Baseball Championship,,U-12,2025-07-02,2025-07-06
2025,U-18 Baseball European Championship B Pool 2025 - Group Bulgaria,European Championship|European Baseball Championship,,U-12,2025-07-07,2025-07-12
2025,U-18 Baseball European Championship B Pool 2025 - Group Poland,European Championship|European Baseball Championship,,U-12,2025-07-07,2025-07-12
2025,U-15 Baseball European Championship 2025,European Championship|European Baseball Championship,,U-12,2025-07-15,2025-07-19
2025,WBSC U-12 Baseball World Cup 2025 presented by RAXUS,World Cup,,U-12,2025-07-25,2025-08-03
2025,U-23 Baseball European Championship 2025,European Championship|European Baseball Championship,,U-12,2025-08-05,2025-08-09
2025,BFA XII U15 Asian Baseball Championship 2025,Asian Baseball Championship,,U-12,2025-08-17,2025-08-23
2025,VII Panamericano Sub-15 - Sudamérica I U-15 Pan American - South America 2025,Panamericano|Pan American Games,,U-12,2025-08-30,2025-09-04
2025,WBSC U-18 Baseball World Cup 2025 presented by RAXUS,World Cup,,U-12,2025-09-05,2025-09-14
2025,VII Panamericano Sub-15 - Caribe I U-15 Pan American - Caribbean 2025,Panamericano|Pan American Games,,U-12,2025-09-06,2025-09-11
2025,VII Panamericano Sub-15 - Centro y norte América I U-15 Pan American - Central and North America 2025,Panamericano|Pan American Games,,U-12,2025-09-13,2025-09-18
2025,Baseball European Championship 2025,European Championship|European Baseball Championship,,U-12,2025-09-20,2025-09-27
2025,BFA XXXI Asian Baseball Championship 2025,Asian Baseball Championship,,U-12,2025-09-22,2025-09-28
2025,"V Panamericano Sub-23 - Caribe, Centro y Norte América I U-23 Pan American - Caribbean, Central and North America 2025",Panamericano|Pan American Games,,U-12,2025-09-28,2025-10-04
2025,V Panamericano Sub-23 - Sudamérica I U-23 Pan American - South America 2025,Panamericano|Pan American Games,,U-12,2025-10-20,2025-10-25
2025,XII Juegos Centroamericanos - Beisbol |  XII Central American Games - Baseball 2025,Juegos Centroamericanos,,U-12,2025-10-24,2025-10-28
2025,Torneo Internacional Sub-10 | U-10 International Tournament 2025,Torneo Internacional,,U-12,2025-11-01,2025-11-07
2025,U-23 Men's Baseball Oceania Championship 2025,Oceania Championship,,U-12,2025-11-06,2025-11-09
2025,U-15 Men's Baseball Oceania Championship 2025,Oceania Championship,,U-12,2025-11-28,2025-12-01
2025,XXI Juegos Bolivarianos - Beisbol | XXI Bolivarian Games - Baseball 2025,Juegos Bolivarianos,,U-12,2025-11-30,2025-12-05
2025,33rd SEA Games 2025 | Men's Baseball,SEA Games,,U-12,2025-12-05,2025-12-12
2026,IV Juegos Sudamericanos de la Juventud - Panamá 2026 - Beisbol Masculino,Juegos Sudamericanos de la Juventud,,U-12,2026-04-20,2026-04-25
2026,Copa Centroamericana de Béisbol Masculino 2026,Copa Centroamericana de Béisbol Masculino,,U-12,2026-06-11,2026-06-14
