tournament,date,home,away,home_score,away_score,home_hits,away_hits,home_errors,away_errors,stadium,location,duration,game_id
World Baseball Classic Qualifiers,2025-02-21,Nicaragua,South Africa,2,1,,,,,Taipei Dome,,,790394
World Baseball Classic Qualifiers,2025-02-21,Chinese Taipei,Spain,5,12,,,,,Taipei Dome,,,790395
World Baseball Classic Qualifiers,2025-02-22,Nicaragua,Spain,2,1,,,,,Taipei Dome,,,790393
World Baseball Classic Qualifiers,2025-02-22,South Africa,Chinese Taipei,1,9,,,,,Taipei Dome,,,790392
World Baseball Classic Qualifiers,2025-02-23,Spain,South Africa,9,1,,,,,Taipei Dome,,,790391
World Baseball Classic Qualifiers,2025-02-23,Chinese Taipei,Nicaragua,0,6,,,,,Taipei Dome,,,790389
World Baseball Classic Qualifiers,2025-02-25,Spain,Chinese Taipei,3,6,,,,,Taipei Dome,,,790390
World Baseball Classic Qualifiers,2025-03-02,Germany,China,12,2,,,,,Kino Veterans Memorial Stadium,,,790388
World Baseball Classic Qualifiers,2025-03-02,Colombia,Brazil,5,0,,,,,Kino Veterans Memorial Stadium,,,790387
World Baseball Classic Qualifiers,2025-03-03,Germany,Brazil,7,9,,,,,Kino Veterans Memorial Stadium,,,790386
World Baseball Classic Qualifiers,2025-03-03,China,Colombia,1,8,,,,,Kino Veterans Memorial Stadium,,,790384
World Baseball Classic Qualifiers,2025-03-04,Brazil,China,12,2,,,,,Kino Veterans Memorial Stadium,,,790385
World Baseball Classic Qualifiers,2025-03-04,Colombia,Germany,10,0,,,,,Kino Veterans Memorial Stadium,,,790383
World Baseball Classic Qualifiers,2025-03-06,Brazil,Germany,6,4,,,,,Kino Veterans Memorial Stadium,,,790382
International Exhibition,2025-03-15,Hanshin Tigers,Chicago Cubs,3,0,,,,,Tokyo Dome,,,790404
International Exhibition,2025-03-15,Tokyo Yomiuri Giants,Los Angeles Dodgers,1,5,,,,,Tokyo Dome,,,790403
International Exhibition,2025-03-16,Hanshin Tigers,Los Angeles Dodgers,3,0,,,,,Tokyo Dome,,,790402
International Exhibition,2025-03-16,Tokyo Yomiuri Giants,Chicago Cubs,2,4,,,,,Tokyo Dome,,,790401
Exhibition Game,2026-03-03,Pittsburgh Pirates,Colombia,7,1,,,,,LECOM Park,,,831430
Exhibition Game,2026-03-03,Baltimore Orioles,Kingdom of the Netherlands,5,8,,,,,Ed Smith Stadium,,,831445
Exhibition Game,2026-03-03,New York Yankees,Panama,11,1,,,,,George M. Steinbrenner Field,,,831444
Exhibition Game,2026-03-03,Toronto Blue Jays,Canada,10,7,,,,,TD Ballpark,,,831437
Exhibition Game,2026-03-03,Miami Marlins,Israel,0,1,,,,,Roger Dean Chevrolet Stadium,,,831436
Exhibition Game,2026-03-03,New York Mets,Nicaragua,6,3,,,,,Clover Park,,,831434
Exhibition Game,2026-03-03,Athletics,Brazil,14,4,,,,,Hohokam Stadium,,,831940
Exhibition Game,2026-03-03,Kansas City Royals,Cuba,4,0,,,,,Surprise Stadium,,,831851
Exhibition Game,2026-03-03,Chicago Cubs,Italy,4,9,,,,,Sloan Park,,,831853
Exhibition Game,2026-03-03,San Francisco Giants,United States,1,15,,,,,Scottsdale Stadium,,,831720
Exhibition Game,2026-03-03,Milwaukee Brewers,Great Britain,3,7,,,,,American Family Fields of Phoenix,,,831855
Exhibition Game,2026-03-03,Arizona Diamondbacks,Mexico,3,6,,,,,Salt River Fields at Talking Stick,,,831800
World Baseball Classic Exhibition,2026-03-03,Dominican Republic,Detroit Tigers,12,4,,,,,Estadio Quisqueya Juan Marichal,,,836149
