tournament,date,home,away,home_score,away_score,home_hits,away_hits,home_errors,away_errors,stadium,location,duration,game_id
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 10:30:00,Panama,United States of America,0,9,6,11,0,2,Okinawa Cellular Stadium NAHA,Okinawa,2:30,173027
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 10:30:00,Australia,Germany,4,5,5,10,1,2,Nishizaki Stadium,Itoman City,2:23,173031
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 14:30:00,Korea,Puerto Rico,5,2,9,2,0,1,Okinawa Cellular Stadium NAHA,Okinawa,2:31,173030
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 14:30:00,South Africa,Cuba,0,10,1,6,7,0,Nishizaki Stadium,Itoman City,1:45,173032
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 18:30:00,Japan,Italy,4,1,5,4,1,2,Okinawa Cellular Stadium NAHA,Okinawa,2:07,173033
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-05 18:30:00,Chinese Taipei,China,7,0,6,2,1,2,Nishizaki Stadium,Itoman City,2:13,173034
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 10:30:00,Panama,Australia,1,4,7,8,1,0,Okinawa Cellular Stadium NAHA,Okinawa,2:17,173035
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 10:30:00,Puerto Rico,South Africa,9,1,7,2,1,1,Nishizaki Stadium,Itoman City,2:25,173036
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 14:30:00,Cuba,Italy,8,0,13,3,1,3,Okinawa Cellular Stadium NAHA,Okinawa,2:10,173037
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 14:30:00,China,Germany,3,9,1,6,4,1,Nishizaki Stadium,Itoman City,2:28,173038
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 18:30:00,Japan,Korea,4,2,7,5,0,1,Okinawa Cellular Stadium NAHA,Okinawa,2:11,173039
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-06 18:30:00,United States of America,Chinese Taipei,4,0,4,0,0,2,Nishizaki Stadium,Itoman City,2:10,173040
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 10:30:00,Italy,Puerto Rico,2,6,3,4,1,1,Okinawa Cellular Stadium NAHA,Okinawa,2:35,173041
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 10:30:00,Australia,China,15,3,13,2,3,2,Nishizaki Stadium,Itoman City,2:06,173042
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 14:00:00,Cuba,Japan,0,3,2,9,2,0,Okinawa Cellular Stadium NAHA,Okinawa,2:07,173043
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 14:30:00,Germany,United States of America,3,9,4,10,2,2,Nishizaki Stadium,Itoman City,2:19,173044
WBSC U-18 Baseball World Cup 2025 presented by RAXUS,2025-09-07 18:30:00,South Africa,Korea,0,0,1,7,2,0,Okinawa Cellular Stadium NAHA,Okinawa,,173045
