team,japanese,region
Japan,日本,Asia|East Asia
Chinese Taipei,台湾,Asia|East Asia
United States of America,アメリカ,North America
Republic of Korea,韓国,Asia|East Asia
Venezuela,ベネズエラ,South America
Puerto Rico,プエルトリコ,Caribbean|Central America
Mexico,メキシコ,North America
Panama,パナマ,Central America
Australia,オーストラリア,Oceania
Netherlands,オランダ,Europe|West Europe
Dominican Republic,ドミニカ共和国,Caribbean|Central America
Cuba,キューバ,Caribbean|Central America
Colombia,コロンビア,South America
Italy,イタリア,Europe|West Europe|South Europe
Nicaragua,ニカラグア,Central America
Czechia,チェコ,Europe|East Europe
Germany,ドイツ,Europe|West Europe
China,中国,Asia|East Asia
Canada,カナダ,North America
Great Britain,イギリス,Europe|West Europe
Israel,イスラエル,Europe|West Europe
Brazil,ブラジル,South America
South Africa,南アフリカ,Africa|South Africa
Philippines,フィリピン,Asia|Southeast Asia
France,フランス,Europe|West Europe
Spain,スペイン,Europe|West Europe|South Europe
Austria,オーストリア,Europe|West Europe
Hong Kong,香港,Asia|East Asia
Curaçao,キュラソー,Caribbean|Central America
Thailand,タイ,Asia|Southeast Asia
Peru,ペルー,South America
Croatia,クロアチア,Europe|East Europe|South Europe
Argentina,アルゼンチン,South America
Sweden,スウェーデン,Europe|West Europe|North Europe
Switzerland,スイス,Europe|West Europe
Guam,グアム,Oceania
Palestine,パレスチナ,Asia|West Asia
Belgium,ベルギー,Europe|West Europe
Costa Rica,コスタリカ,Central America
Bahamas,バハマ,Caribbean|Central America
Virgin Islands,アメリカ領ヴァージン諸島,Caribbean|Central America
Guatemala,グアテマラ,Central America
Pakistan,パキスタン,Asia|South Asia
Lithuania,リトアニア,Europe|East Europe
Honduras,ホンジュラス,Central America
Singapore,シンガポール,Asia|Southeast Asia
Laos,ラオス,Asia|Southeast Asia
Hungary,ハンガリー,Europe|East Europe
Uganda,ウガンダ,Africa|East Africa
Greece,ギリシャ,Europe|South Europe|East Europe
Chile,チリ,South America
Ecuador,エクアドル,South America
Sri Lanka,スリランカ,Asia|South Asia
Indonesia,インドネシア,Asia|Southeast Asia
El Salvador,エルサルバドル,Central America
Poland,ポーランド,Europe|East Europe
Zimbabwe,ジンバブエ,Africa|South Africa
Aruba,アルバ,Caribbean|Central America
Northern Mariana Islands,北マリアナ諸島,Oceania
New Zealand,ニュージーランド,Oceania
Slovakia,スロバキア,Europe|East Europe|South Europe
Palau,パラオ,Oceania
Kenya,ケニア,Africa|East Africa
India,インド,Asia|South Asia
Iran,イラン,Asia|West Asia
Sint Maarten,シント・マールテン,Caribbean|Central America
South Sudan,南スーダン,Africa|East Africa
Norway,ノルウェー,Europe|West Europe|North Europe
Serbia,セルビア,Europe|South Europe|East Europe
Ireland,アイルランド,Europe|West Europe
Malaysia,マレーシア,Asia|Southeast Asia
Slovenia,スロベニア,Europe|East Europe|South Europe
Ukraine,ウクライナ,Europe|East Europe
Vietnam,ベトナム,Asia|Southeast Asia
Federated States of Micronesia,ミクロネシア連邦,Oceania
Bangladesh,バングラデシュ,Asia|South Asia
Romania,ルーマニア,Europe|East Europe
Benin,ベナン,Africa|West Africa
Finland,フィンランド,Europe|West Europe|North Europe
Cambodia,カンボジア,Asia|Southeast Asia
Afghanistan,アフガニスタン,Asia|South Asia
Tanzania,タンザニア,Africa|East Africa
Bulgaria,ブルガリア,Europe|East Europe
Fiji,フィジー,Oceania
Türkiye,トルコ,Asia|West Asia
American Samoa,アメリカ領サモア,Oceania
Belarus,ベラルーシ,Europe|East Europe
Georgia,ジョージア,Asia|West Asia
Burkina Faso,ブルキナファソ,Africa|West Africa
Ghana,ガーナ,Africa|West Africa
Russia,ロシア,Europe|East Europe
Honduras,ホンジュラス,Central America
Estonia,エストニア,Europe|East Europe
Bolivia,ボリビア,South America
Nepal,ネパール,Asia|South Asia
Haiti,ハイチ,Caribbean|Central America
Nigeria,ナイジェリア,Africa|West Africa
Bahrain,バーレーン,Asia|West Asia
Denmark,デンマーク,Europe|West Europe|North Europe
