tournament,date,home,away,home_score,away_score,home_hits,away_hits,home_errors,away_errors,stadium,location,duration,game_id,status
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 10:30:00,Mexico,Australia,10,0,12,0,0,2,ASPAC Youth,Tainan City,1:43,170274,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 10:30:00,Czechia,Dominican Republic,8,14,10,15,1,1,ASPAC B,Tainan City,2:00,170278,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 14:30:00,Japan,Germany,17,0,12,0,0,5,ASPAC Youth,Tainan City,1:15,170280,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 14:30:00,Panama,United States of America,2,8,1,9,2,0,ASPAC B,Tainan City,1:51,170282,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 18:30:00,Chinese Taipei,Cuba,6,3,9,7,1,2,ASPAC Youth,Tainan City,1:59,170284,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-25 19:30:00,Korea,South Africa,17,0,10,1,0,5,ASPAC B,Tainan City,1:22,170286,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 10:30:00,United States of America,Czechia,6,0,7,3,1,4,ASPAC Youth,Tainan City,1:25,170287,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 10:30:00,Mexico,Germany,9,1,10,0,1,0,ASPAC B,Tainan City,1:39,170288,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 14:30:00,Panama,South Africa,11,1,7,2,1,6,ASPAC Youth,Tainan City,1:31,170289,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 14:30:00,Japan,Cuba,4,0,6,3,1,1,ASPAC B,Tainan City,1:23,170290,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 18:30:00,Australia,Chinese Taipei,0,13,1,7,1,0,ASPAC Youth,Tainan City,1:40,170291,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-26 18:30:00,Dominican Republic,Korea,3,8,3,4,3,0,ASPAC B,Tainan City,2:06,170292,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 10:30:00,Cuba,Mexico,0,3,2,6,2,2,ASPAC Youth,Tainan City,1:55,170301,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 10:30:00,South Africa,United States of America,0,26,0,19,1,0,ASPAC B,Tainan City,1:31,170302,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 14:30:00,Korea,Czechia,14,0,11,0,1,3,ASPAC Youth,Tainan City,1:40,170303,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 14:30:00,Panama,Dominican Republic,3,10,4,8,1,0,ASPAC B,Tainan City,1:54,170304,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 18:30:00,Chinese Taipei,Japan,2,7,6,10,1,1,ASPAC Youth,Tainan City,2:09,170306,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-27 18:30:00,Germany,Australia,2,9,6,4,1,1,ASPAC B,Tainan City,2:13,170308,finished
WBSC U-12 Baseball World Cup 2025 presented by RAXUS,2025-07-28 10:30:00,Czechia,Panama,0,6,4,7,3,0,ASPAC Youth,Tainan City,1:43,170311,finished
